V1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
212,Spain,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",Fermentado en Barrica,90,40,Northern Spain,Rueda,"",Michael Schachner,@wineschach,Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera
213,US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",1105,90,48,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV
214,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",Verah,90,36,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts
215,Israel,"Aromas of blackberry, fennel bulb and smoke set the scene for flavors of cherry, raspberry, chocolate and tobacco leaf. Mellow but ever-apparent tannins ply the palate alongside a strong bolt of acidity that tapers off into a pomegranate-imbued finish.",French Blend,90,80,Galilee,"","",Mike DeSimone,@worldwineguys,Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz
216,Italy,"Black-skinned berry, pipe tobacco and Mediterranean herb aromas waft out of the glass and carry over to the firm linear palate along with morello cherry, licorice and a hint of clove. Taut fine-grained tannins and fresh acidity provide the backbone while orange peel marks the finish. Drink 2019–2025.","",90,57,Tuscany,Brunello di Montalcino,"",Kerin O’Keefe,@kerinokeefe,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone
217,Portugal,"Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density. It's full of black fruit, toast and a touch of pepper. With ripe tannins and crisp acidity, it can easily age another year. Drink from 2018.","",90,20,Beira Atlantico,"","",Roger Voss,@vossroger,Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce
218,US,"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp and light on the nose, offering a wealth of body and lushness on the palate, accented with nutmeg and peach. It includes 4% Sémillon, partly from the winery's beloved To Kalon vineyard.","",90,20,California,Napa Valley,Napa,Virginie Boone,@vboone,Robert Mondavi 2015 Fumé Blanc (Napa Valley),Fumé Blanc,Robert Mondavi
219,Hungary,"From a vineyard in Northern Tokaj this dry Furmint has aromas of citrus pith and freshly cut pineapple. In the mouth, there are delightful flavors of grapefruit juice and white peach before the pleasantly acidic finish.",Megyer Dry,90,36,Tokaj,"","",Jeff Jenssen,@worldwineguys,Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),Furmint,Samuel Tinon
220,US,"Briny green olive notes underlie a tropically ripe, full-bodied expression of the variety. The wine's apple, pineapple and mango fruit is wrapped in toasted oak and moderate acidity.","",90,40,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,Sixteen by Twenty
221,Italy,"This opens with enticing aromas of chamomile flower, white peach and a whiff of Alpine herb. The elegant palate offers McIntosh apple, candied lemon and a vein of energizing mineral. Fresh acidity lends balance.",Passion Riserva,90,40,Northeastern Italy,Alto Adige,"",Kerin O’Keefe,@kerinokeefe,St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls
222,Italy,"Chopped herb, forest floor, leather, espresso and a balsamic note are some of the aromas that waft out of the glass. The powerfully structured palate delivers prune, dried cherry, tobacco, and roasted coffee bean framed in firm fine-grained tannins. Give the tannins a few more years to unwind then drink to capture the fruit richness. Drink 2018–2023.",Trentennale,90,,Tuscany,Brunello di Montalcino,"",Kerin O’Keefe,@kerinokeefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti
223,Italy,"Bright and creamy, this savory white offers aromas and flavors of ripe apple, Bartlett pear, Alpine herb and a citrus note. Fresh acidity and a mineral vein energize the finish.","",90,,Northeastern Italy,Alto Adige,"",Kerin O’Keefe,@kerinokeefe,Terlan 2015 Pinot Bianco (Alto Adige),Pinot Bianco,Terlan
224,Argentina,"Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme, and that's how it finishes as well.",Lunta,90,22,Mendoza Province,Luján de Cuyo,"",Michael Schachner,@wineschach,Mendel 2014 Lunta Malbec (Luján de Cuyo),Malbec,Mendel
225,South Africa,"There's a pleasant, toasty seam throughout the nose and mouth of this well-balanced wine, expressed in notes of sweet spice and honeycomb that frame the yellow melon and apple fruit core. It's plush and mouthfilling, but not flabby or overdone, thanks to balancing acidity and an assertive spicy tone that dominates the finish. Drink now.","",90,25,Stellenbosch,"","",Lauren Buzzeo,@laurbuzz,Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,Oldenburg
226,South Africa,"This is a round and rich wine, with notes of wood-grilled apple, guava and toasted challah. Smooth and lush in feel, ripe peach and tropical tones drive the palate, while hints of honeysuckle and baking spice unfold on the finish. Ample acidity keeps the wine's weight in check. Drink now.","",90,20,Stellenbosch,"","",Lauren Buzzeo,@laurbuzz,Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg
227,US,"The deep ruby color belies this wines cool-climate origins. The nose shows more black fruit aromas than is typical for Pinot Noir. The palate is all Pinot, though, with cherry pie filling flavors made more complex by vanilla from toasty new oak. It finishes with some nice mineral and earth notes. Silky tannins allow for immediate consumption but the wine will gain in complexity after a year or two in the cellar.",Grace House,85,15,New York,Finger Lakes,Finger Lakes,"","",Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,Wagner
228,US,"A thoroughly honest effort, opening with lovely quince, apple and lemon fruit. The palate has a crisp lime edge and finishes with a kick of refreshing acidity. Drink now.",Semi-Dry,85,14,New York,Cayuga Lake,Finger Lakes,"","",Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,Treleaven
229,US,"Not clear what the varietal blend is, but it's like a nice, easy southern Rhône wine. Soft and fruity, it's rich in jammy blackberry, cherry, Mandarin orange, chocolate and anise spice flavors.",Costa Del Sol,85,18,California,Napa Valley,Napa,"","",Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere
230,US,"Orange blossom and flowers lead on this Gewürtz, and on the palate, a citric, lemon edge outweighs the sweet and floral components that would give this wine a prettier edge. Nonetheless, the wine has an attractive, crisp and clean character and will pair well with grilled seafood and poultry.","",85,16,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Bloomer Creek 2006 Gewürztraminer (Finger Lakes),Gewürztraminer,Bloomer Creek
231,Argentina,"Meaty and rubbery, but that's young Bonarda. This is a sound wine with dark berry flavors, raisin and pulsing acidity. Still, there's modest roundness to the palate and length to the finish. Overall, it's tasty, full and borderline raisiny. Drink now.","",85,10,Mendoza Province,Mendoza,"",Michael Schachner,@wineschach,Andean Sky 2007 Bonarda (Mendoza),Bonarda,Andean Sky
232,Australia,Lifted cedar and pine notes interspersed with appealing woodsy scents give way to a surprisingly intense palate that shows some nice peppery notes but ultimately falls short on the finish. Nearly imperceptible tannins suggest early consumption.,Red Belly Black,85,12,South Australia,South Australia,"","","",Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,Angove's
233,US,"There is an odd, piercing edge to the aromas, a mix of acetic acid and pungent herb, with a hint of diesel. Somehow it's not off-putting, just atypical. The light, tart fruit is a mix of rhubarb and cranberry, very earthy and tasting of dirt and bark in the finish. This could be quite pleasant with a hearty, rustic dish such as beef Bourgogne.",Reserve,85,28,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
234,Italy,"Neutral and unassuming on first impact, this luminous rosé eventually delivers notes of mineral, ash, stone fruit and small berry. The wine offers more in the mouth, however, where it exhibits fresh flavors of raspberry and blueberry.",Cerasuolo Rosè,85,10,Central Italy,Montepulciano d'Abruzzo,"","","",Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo),Montepulciano,Talamonti
235,US,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",Thompson Vineyard,85,49,California,Santa Barbara County,Central Coast,"","",Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa
236,US,"Shows rich, firm mountain tannins and well-ripened, concentrated flavors of blackberries, cherries, currants and cocoa, and is thoroughly dry. But the wine loses a few points for hot caramelization, which may be partly over-charred oak and partly shriveled, overripe berries, if not both.",Kiss Ridge Vineyard,85,85,California,Diamond Mountain District,Napa,"","",Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker
237,Italy,"The wine boasts a beautiful appearance thanks to its saturated golden color and faint amber highlights. It has a very fragrant nose and offers honey, peach and soapy floral notes. In the mouth, the wine delivers sweet fruit and a soft, silky texture.","",85,18,Central Italy,San Marino,"","","",Consorzio Vini Tipici di San Marino NV Moscato (San Marino),Moscato,Consorzio Vini Tipici di San Marino
238,Australia,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",The Derelict Vineyard,85,29,South Australia,McLaren Vale,"",Joe Czerwinski,@JoeCz,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
239,US,"A little rough and rugged, with jangly tannins and blackberry fruit so ripe it veers into raisins. Very dry, it's probably at its best now.","",85,36,California,Mendocino,"","","",Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood
240,France,"Dominated by Ugni Blanc, the grape also used in the local Armagnac brandy, this is a tight, crisp wine, green but not unpleasantly so. Its acidity comes from fresh apple flavors, touched with some good juiciness and a fine refreshing finish. Screwcap.","",85,9,Southwest France,Vin de Pays des Côtes de Gascogne,"",Roger Voss,@vossroger,Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),Ugni Blanc-Colombard,Domaine du Tariquet
241,US,"Sweetly rich in cherry, red currant and chocolate flavors, with a peppery edge, this Sangiovese is soft in structure. The bright acidity can cut through tomato sauce with cheese.","",85,34,California,Napa Valley,Napa,"","",Falcor 2005 Sangiovese (Napa Valley),Sangiovese,Falcor
242,US,"Made in the modern California style, with very ripe, rather sweet pineapple jam, green apple butter and smoky oak flavors that are wrapped into a creamy texture.",Reserve Selection,85,15,California,Russian River Valley,Sonoma,"","",Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley),Chardonnay,Hayman & Hill
243,US,"This sparkling wine starts with a toasty but soft nose, leading into clean but fruity flavors and a refreshing finish. Though an earlier release might have allowed more primary fruit to show through, the wine offers easygoing but elegant enjoyment.",Blanc de Blanc,85,30,New York,Finger Lakes,Finger Lakes,"","",Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes),Chardonnay,Hermann J. Wiemer
244,Spain,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,85,13,Northern Spain,Vino de la Tierra de Castilla y León,"",Michael Schachner,@wineschach,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,J. & F. Lurton
245,Argentina,"Not exactly a world-class white wine but at least it smells and tastes like Chardonnay. The nose offers some butter and lemon curd, while the palate is jumpy and tastes like a mix of pear, apple and spice. A fresh, young wine that should be drunk soon.",Reserve,85,12,Other,San Juan,"",Michael Schachner,@wineschach,Finca Las Moras 2007 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras
246,Australia,"Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now.",Destinations,85,15,South Australia,Adelaide Hills,"","","",Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Long Flat
247,US,"Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now.",Reserve,85,25,California,Sonoma Mountain,Sonoma,"","",Work 2004 Reserve Merlot (Sonoma Mountain),Merlot,Work
248,US,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",Estate Single Vineyard,85,45,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity
249,US,"Cherry pie-filling and boysenberry notes open this impressive blend of Merlot and Petit Verdot. Abundant but velvety tannins give a lift to blueberry and   chocolate tones in the mouth, while the slightly grippy finish shows appealing mixed berry flavors.",Petit Verdot-Merlot,85,18,Virginia,Monticello,"","","",Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello),Bordeaux-style Red Blend,Autumn Hill
250,US,"Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now.",Estate,85,49,California,Alexander Valley,Sonoma,"","",Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock
251,US,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",Papillon Estate,85,22,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
252,US,"Shows the briary, brambly character of Foothills Zin, with an array of wild berry, tobacco, mocha and Asian spice flavors wrapped into finely ground tannins. But the wine is too sweet and candied in the finish. Drink now.",Seity,85,35,California,Amador County,Sierra Foothills,"","",Cloud 9 2006 Seity Zinfandel (Amador County),Zinfandel,Cloud 9
253,Argentina,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.",Reserve,85,15,Mendoza Province,Luján de Cuyo,"",Michael Schachner,@wineschach,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,Cueva de las Manos
254,US,"The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness.","",89,45,California,St. Helena,Napa,"","",David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,David Fulton
255,US,"Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal.",Reserva,89,55,California,Cole Ranch,"",Virginie Boone,@vboone,Esterlina 2009 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina
256,South Africa,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.",Goat-Roti,89,20,Coastal Region,"","",Lauren Buzzeo,@laurbuzz,Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region),Syrah-Viognier,Goats do Roam Wine Co.
257,South Africa,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",The William,89,18,Coastal Region,"","",Lauren Buzzeo,@laurbuzz,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck
258,South Africa,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.","",89,35,Stellenbosch,"","",Lauren Buzzeo,@laurbuzz,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg
259,France,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.",Noir 46,89,13,Southwest France,Cahors,"",Roger Voss,@vossroger,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118
260,US,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",Estate,89,40,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
261,Argentina,"A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.",Estate Blend Gran Reserva,89,37,Mendoza Province,"","",Michael Schachner,@wineschach,Algodon 2008 Estate Blend Gran Reserva Red,Red Blend,Algodon
262,US,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",Fairytale,89,39,California,Napa Valley,Napa,Virginie Boone,@vboone,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek
263,US,"A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014.",Monument,89,60,California,Santa Maria Valley,Central Coast,"","",Byron 2009 Monument Pinot Noir (Santa Maria Valley),Pinot Noir,Byron
264,South Africa,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.","",89,19,Stellenbosch,"","",Lauren Buzzeo,@laurbuzz,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin
265,South Africa,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",Nine Yards,89,40,Stellenbosch,"","",Lauren Buzzeo,@laurbuzz,Jardin 2009 Nine Yards Chardonnay (Stellenbosch),Chardonnay,Jardin
266,Argentina,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.",Corte Malbec-Bonarda-Petit Verdot,89,14,Mendoza Province,Mendoza,"",Michael Schachner,@wineschach,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),Red Blend,Kaiken
267,Italy,"This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden color and elegant aromas of stone fruit, citrus, Golden Delicious apple and mature pear. There's a pretty hint of vanilla and almond butter at the back.",Torre di Giano Vigna il Pino,89,40,Central Italy,Torgiano,"","","",Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti
268,Italy,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.",Terso,89,36,Veneto,Veneto,"","","",Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli
269,Austria,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.","",89,17,Leithaberg,"","",Roger Voss,@vossroger,Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,Mariell
270,Italy,"A gorgeous expression of Friulano, this wine (in a screwcap bottle) makes an elegant addition to chicken, pasta or seafood dinners. Layers of peach, almond and pineapple are wrapped tightly together.","",89,25,Northeastern Italy,Colli Orientali del Friuli,"","","",Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Friulano,Livio Felluga
271,Greece,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.","",89,15,Santorini,"","",Susan Kostrzewa,@suskostrzewa,My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine
272,Italy,"This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice.",Sirmian,89,26,Northeastern Italy,Alto Adige,"","","",Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige),Pinot Bianco,Nals Margreid
273,Argentina,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.",B Crux,89,19,Mendoza Province,Uco Valley,"",Michael Schachner,@wineschach,O. Fournier 2007 B Crux Red (Uco Valley),Red Blend,O. Fournier
274,Italy,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",Estrosa,89,13,Piedmont,Monferrato,"","","",Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Pico Maccario
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30,Mendoza Province,Mendoza,"",Michael Schachner,@wineschach,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano
